group,variable,value
Andhra Pradesh,Rice,4812.5
Andhra Pradesh,Wheat,3450.0
Andhra Pradesh,Atta (Wheat),3500.0
Andhra Pradesh,Gram Dal,8375.0
Andhra Pradesh,Tur/Arhar Dal,15675.0
Andhra Pradesh,Urad Dal,11900.0
Andhra Pradesh,Moong Dal,11175.0
Andhra Pradesh,Masoor Dal,8450.0
Andhra Pradesh,Sugar,4040.0
Andhra Pradesh,Milk @,5275.0
Andhra Pradesh,Groundnut Oil (Packed),16025.75
Andhra Pradesh,Mustard Oil (Packed),15656.0
Andhra Pradesh,Vanaspati (Packed),10523.0
Andhra Pradesh,Soya Oil (Packed),11500.0
Andhra Pradesh,Sunflower Oil (Packed),10697.0
Andhra Pradesh,Palm Oil (Packed),8597.5
Andhra Pradesh,Gur,5125.0
Andhra Pradesh,Tea Loose,24000.0
Andhra Pradesh,Salt Pack (Iodised),1302.5
Andhra Pradesh,Potato,3450.0
Andhra Pradesh,Onion,3750.0
Andhra Pradesh,Tomato,1925.0
Arunachal pradesh,Rice,3733.33
Arunachal pradesh,Atta (Wheat),3646.67
Arunachal pradesh,Gram Dal,9743.33
Arunachal pradesh,Tur/Arhar Dal,17433.33
Arunachal pradesh,Urad Dal,12900.0
Arunachal pradesh,Moong Dal,11480.0
Arunachal pradesh,Masoor Dal,8800.0
Arunachal pradesh,Sugar,4666.67
Arunachal pradesh,Milk @,7100.0
Arunachal pradesh,Groundnut Oil (Packed),15200.0
Arunachal pradesh,Mustard Oil (Packed),12833.33
Arunachal pradesh,Vanaspati (Packed),11166.67
Arunachal pradesh,Soya Oil (Packed),11666.67
Arunachal pradesh,Sunflower Oil (Packed),14200.0
Arunachal pradesh,Gur,7333.33
Arunachal pradesh,Tea Loose,25957.33
Arunachal pradesh,Salt Pack (Iodised),1200.0
Arunachal pradesh,Potato,3033.33
Arunachal pradesh,Onion,4733.33
Arunachal pradesh,Tomato,6433.33
Assam,Rice,3675.94
Assam,Wheat,3108.57
Assam,Atta (Wheat),3238.33
Assam,Gram Dal,8687.5
Assam,Tur/Arhar Dal,15946.88
Assam,Urad Dal,10007.69
Assam,Moong Dal,10964.06
Assam,Masoor Dal,8340.63
Assam,Sugar,4388.75
Assam,Milk @,6908.88
Assam,Groundnut Oil (Packed),17750.0
Assam,Mustard Oil (Packed),13655.87
Assam,Vanaspati (Packed),12520.75
Assam,Soya Oil (Packed),11929.6
Assam,Sunflower Oil (Packed),13162.83
Assam,Palm Oil (Packed),9735.9
Assam,Gur,4956.25
Assam,Tea Loose,22522.27
Assam,Salt Pack (Iodised),1068.75
Assam,Potato,2953.13
Assam,Onion,4743.75
Assam,Tomato,5336.67
Bihar,Rice,3408.33
Bihar,Wheat,2536.11
Bihar,Atta (Wheat),2897.22
Bihar,Gram Dal,8161.11
Bihar,Tur/Arhar Dal,15488.89
Bihar,Urad Dal,11850.67
Bihar,Moong Dal,10570.59
Bihar,Masoor Dal,7486.11
Bihar,Sugar,4200.83
Bihar,Milk @,5209.12
Bihar,Groundnut Oil (Packed),16000.0
Bihar,Mustard Oil (Packed),12869.94
Bihar,Vanaspati (Packed),11317.67
Bihar,Soya Oil (Packed),11649.33
Bihar,Sunflower Oil (Packed),13825.92
Bihar,Palm Oil (Packed),9732.14
Bihar,Gur,4411.11
Bihar,Tea Loose,25061.11
Bihar,Salt Pack (Iodised),1851.11
Bihar,Potato,2791.67
Bihar,Onion,3755.56
Bihar,Tomato,4300.0
Chandigarh,Rice,3932.0
Chandigarh,Wheat,2762.0
Chandigarh,Atta (Wheat),3158.0
Chandigarh,Gram Dal,8336.0
Chandigarh,Tur/Arhar Dal,15541.0
Chandigarh,Urad Dal,11596.0
Chandigarh,Moong Dal,10664.0
Chandigarh,Masoor Dal,8170.0
Chandigarh,Sugar,4167.0
Chandigarh,Milk @,5551.0
Chandigarh,Groundnut Oil (Packed),17276.0
Chandigarh,Mustard Oil (Packed),13103.0
Chandigarh,Vanaspati (Packed),11328.0
Chandigarh,Soya Oil (Packed),11056.0
Chandigarh,Sunflower Oil (Packed),11228.0
Chandigarh,Palm Oil (Packed),9258.0
Chandigarh,Gur,4788.0
Chandigarh,Tea Loose,24312.0
Chandigarh,Salt Pack (Iodised),2000.0
Chandigarh,Potato,3031.0
Chandigarh,Onion,3814.0
Chandigarh,Tomato,3881.0
Chhattisgarh,Rice,3452.43
Chhattisgarh,Wheat,3133.29
Chhattisgarh,Atta (Wheat),3385.71
Chhattisgarh,Gram Dal,8149.71
Chhattisgarh,Tur/Arhar Dal,15412.29
Chhattisgarh,Urad Dal,9964.29
Chhattisgarh,Moong Dal,10185.71
Chhattisgarh,Masoor Dal,7944.86
Chhattisgarh,Sugar,3916.71
Chhattisgarh,Milk @,5119.0
Chhattisgarh,Groundnut Oil (Packed),17908.0
Chhattisgarh,Mustard Oil (Packed),13275.0
Chhattisgarh,Vanaspati (Packed),10652.43
Chhattisgarh,Soya Oil (Packed),10643.14
Chhattisgarh,Sunflower Oil (Packed),11602.43
Chhattisgarh,Palm Oil (Packed),9531.17
Chhattisgarh,Gur,4414.29
Chhattisgarh,Tea Loose,21066.67
Chhattisgarh,Salt Pack (Iodised),1514.29
Chhattisgarh,Potato,3307.14
Chhattisgarh,Onion,3857.43
Chhattisgarh,Tomato,2899.43
Delhi,Rice,2800.0
Delhi,Wheat,2650.0
Delhi,Atta (Wheat),2750.0
Delhi,Gram Dal,8200.0
Delhi,Tur/Arhar Dal,10700.0
Delhi,Urad Dal,11500.0
Delhi,Moong Dal,10000.0
Delhi,Masoor Dal,7400.0
Delhi,Sugar,4200.0
Delhi,Groundnut Oil (Packed),19413.0
Delhi,Mustard Oil (Packed),13113.0
Delhi,Vanaspati (Packed),11066.0
Delhi,Soya Oil (Packed),12014.0
Delhi,Sunflower Oil (Packed),12380.0
Delhi,Palm Oil (Packed),8666.0
Delhi,Gur,4600.0
Delhi,Tea Loose,21800.0
Delhi,Salt Pack (Iodised),2300.0
Delhi,Potato,2200.0
Delhi,Onion,3350.0
Delhi,Tomato,2475.0
DNH and DD,Rice,4400.0
DNH and DD,Wheat,3466.67
DNH and DD,Atta (Wheat),3900.0
DNH and DD,Gram Dal,8400.0
DNH and DD,Tur/Arhar Dal,14966.67
DNH and DD,Urad Dal,12900.0
DNH and DD,Moong Dal,11566.67
DNH and DD,Masoor Dal,8500.0
DNH and DD,Sugar,4033.33
DNH and DD,Milk @,6266.67
DNH and DD,Groundnut Oil (Packed),18967.67
DNH and DD,Mustard Oil (Packed),15456.33
DNH and DD,Vanaspati (Packed),13108.0
DNH and DD,Soya Oil (Packed),12501.67
DNH and DD,Sunflower Oil (Packed),12575.0
DNH and DD,Palm Oil (Packed),10128.0
DNH and DD,Gur,5366.67
DNH and DD,Tea Loose,24366.67
DNH and DD,Salt Pack (Iodised),2500.0
DNH and DD,Potato,2966.67
DNH and DD,Onion,3883.33
DNH and DD,Tomato,3466.67
Gujarat,Rice,3280.0
Gujarat,Wheat,2950.0
Gujarat,Atta (Wheat),3200.0
Gujarat,Gram Dal,8380.0
Gujarat,Tur/Arhar Dal,15600.0
Gujarat,Urad Dal,11660.0
Gujarat,Moong Dal,10440.0
Gujarat,Masoor Dal,7820.0
Gujarat,Sugar,3990.0
Gujarat,Milk @,6075.0
Gujarat,Groundnut Oil (Packed),15832.0
Gujarat,Mustard Oil (Packed),12970.0
Gujarat,Vanaspati (Packed),10842.0
Gujarat,Soya Oil (Packed),10797.0
Gujarat,Sunflower Oil (Packed),11065.0
Gujarat,Palm Oil (Packed),8850.0
Gujarat,Gur,4880.0
Gujarat,Tea Loose,20020.0
Gujarat,Salt Pack (Iodised),1540.0
Gujarat,Potato,2970.0
Gujarat,Onion,3520.0
Gujarat,Tomato,3600.0
Haryana,Rice,3700.0
Haryana,Wheat,2900.0
Haryana,Atta (Wheat),3250.0
Haryana,Gram Dal,8575.0
Haryana,Tur/Arhar Dal,14500.0
Haryana,Urad Dal,11700.0
Haryana,Moong Dal,11400.0
Haryana,Masoor Dal,8600.0
Haryana,Sugar,4120.0
Haryana,Milk @,5125.0
Haryana,Groundnut Oil (Packed),19389.5
Haryana,Mustard Oil (Packed),13257.5
Haryana,Vanaspati (Packed),11619.0
Haryana,Soya Oil (Packed),11458.5
Haryana,Sunflower Oil (Packed),12368.0
Haryana,Palm Oil (Packed),9395.0
Haryana,Gur,4700.0
Haryana,Tea Loose,19400.0
Haryana,Salt Pack (Iodised),2200.0
Haryana,Potato,3175.0
Haryana,Onion,4050.0
Haryana,Tomato,3750.0
Himachal Pradesh,Rice,3614.36
Himachal Pradesh,Wheat,2100.0
Himachal Pradesh,Atta (Wheat),2980.2
Himachal Pradesh,Gram Dal,8992.6
Himachal Pradesh,Tur/Arhar Dal,16701.7
Himachal Pradesh,Urad Dal,12613.09
Himachal Pradesh,Moong Dal,10865.09
Himachal Pradesh,Masoor Dal,8289.27
Himachal Pradesh,Sugar,4305.5
Himachal Pradesh,Milk @,4966.67
Himachal Pradesh,Groundnut Oil (Packed),20393.25
Himachal Pradesh,Mustard Oil (Packed),15534.3
