States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,2753.75,2800,2372.33,6500,14550,15125,9950,8400,3165,,12269.75,,7686.5,,9011.5,5691.25,3768.75,,1490,1725,1900,2625,01-01-2016,2
Tamil Nadu,3156.25,2790,2463.33,12175,8350,9412.5,6375,6200,3922.5,,14292.25,,8606.75,,9135,7169.5,4566.25,,1537.5,1350,1175,625,02-01-2016,2
Tamil Nadu,3366.67,2660,2353.33,6266.67,6250,6666.67,6483.33,5000,3793.33,,12831.33,,8744,,8835.33,6998.67,4933.33,,1466.67,1333.33,3566.67,566.67,03-01-2016,2
Tamil Nadu,3100,2970,3084,6460,7000,7840,7350,5280,3388,,14161.2,,8238.4,,9527.2,6875.4,4466.6,,1536,1800,1240,1420,04-01-2016,2
Tamil Nadu,2631,2750,2336.75,6120,12540,13840,9040,6900,3424,,12068,,7775.4,,8890.8,5662.8,3895,,1510,1600,1540,800,05-01-2016,3
Tamil Nadu,3302,2836,2572.5,9360,6980,9230,6280,5750,4190,,13888.2,,8600.4,,9132,7273.8,4606,,1550,1460,1160,1980,06-01-2016,3
Tamil Nadu,3301,2736,2555,5940,6320,6600,6650,5100,3590,,12775.4,,8784.6,,8982.2,7005.6,4820,,1500,1325,2500,600,07-01-2016,3
Tamil Nadu,3040,2960,2938,6300,8050,7690,7640,5780,3390,,13893.2,,8306,,9435,7156.2,4443.4,,1550,1880,1060,1200,08-01-2016,3
Tamil Nadu,2475,2740,2286.75,5820,11520,13300,8540,6150,3452,,12013,,7798.4,,9044.2,6314,3764,,1530,1460,1300,660,09-01-2016,3
Tamil Nadu,3275,2835,2496.67,7500,6600,8750,6200,5400,4315,,14112.25,,8811.75,,9120,7011,4500,,1562.5,1300,1200,2350,10-01-2016,3
Tamil Nadu,3126.6,2736,2525,5580,6510,6780,6790,5000,3690,,12840.6,,8698.4,,9054.2,7172.6,4600,,1500,1380,1560,660,11-01-2016,3
Tamil Nadu,3080,2960,2940,6260,8060,7640,7740,5820,3462,,14024,10000,8001,,9559.8,7097.2,4280,,1602,1620,980,1060,12-01-2016,3
Tamil Nadu,2411,2640,2324.25,5940,11400,13110,8260,6700,3680,,12431,,8009.2,,9000.2,6623,3667,,1530,1740,1200,740,13-01-2016,3
Tamil Nadu,3275,2810,2533.33,7625,6850,9325,6725,5700,4285,,14250,,8701.75,,9065,6749.25,4375,,1562.5,1375,1050,2025,14-01-2016,3
Tamil Nadu,3060,2652,2525,5312.5,6440,6450,6725,4900,3488,,12774.4,,8620.75,,9142,7743.75,4600,,1500,1440,1240,1020,15-01-2016,3
Tamil Nadu,3080,2960,2900,6130,8020,7420,7590,5508,3438,,13867.2,9750,8025,,9447.6,6753,4336.6,,1584,1620,1020,1640,16-01-2016,3
Tamil Nadu,2390,2775,2470,7000,13900,16500,8550,,3990,,13955.5,,7600,,9120,7005,3750,,1550,1900,1350,2900,17-01-2016,3
Tamil Nadu,3165,2785,2600,7750,6850,9425,6775,5400,4215,,14442.75,,8674.25,,9065,6446,4425,,1562.5,1375,1000,800,18-01-2016,3
Tamil Nadu,3200,2666.67,2353.33,5133.33,6300,6566.67,6700,4800,3123.33,,13040,,8881.67,,9133.33,8198.33,4533.33,,1466.67,1966.67,1000,833.33,19-01-2016,3
Tamil Nadu,3133.33,3016.67,3043.33,6466.67,7916.67,7700,7900,5700,3580,,14656.67,,8043.33,,9776.67,6927,3966.67,,1583.33,1633.33,1100,3133.33,20-01-2016,3
Tamil Nadu,2484,2650,2390,7585,12240,15720,8100,7200,3874,,14346.2,,8253.6,,9066.2,6832.6,4369,,1530,2060,1220,3760,21-01-2016,1
Tamil Nadu,3175,2740,2533.33,7475,6025,8700,6525,5000,4180,,14395.25,,8667,,8900.75,6565.5,4675,,1537.5,1375,1025,1200,22-01-2016,1
Tamil Nadu,3090,2670,2525,4980,6260,6530,6740,4750,3094,,13411.8,,8911,,9362,8293,4480,,1500,2040,1060,1240,23-01-2016,1
Tamil Nadu,3187.5,2877.5,2852.5,6162.5,8625,8225,8225,5510,3585,,14137.5,9500,7740.5,,9510,6680.25,4441.75,,1583.33,1925,1400,4087.5,24-01-2016,1
Tamil Nadu,2482,2694,2442.5,8740,12160,15440,7920,7350,3890,,14839.6,,8231.6,,9054.2,6655.2,4252,,1530,2020,1260,2240,25-01-2016,1
Tamil Nadu,3368,2760,2562.5,7300,5820,8430,6130,5000,4154,,14040.2,,8467.6,,8854.8,6409.4,4680,,1510,1440,1060,4120,26-01-2016,1
